CL,ID,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15
CL06,X00001,0.9410184403312543,0.9929940947315253,0.42209247611768386,0.7363843178980329,0.46852599757847885,0.9976944099888857,0.8185503671940491,0.34687557034039784,0.17010795557438446,0.14356942741540413,-0.047935054227615334,-0.02648114530026488,0.24673464688075333,0.6122154439193914,-0.019648835431534947,0.7758926184117652
CL07,X00002,0.9436537060299268,0.3898790489081236,0.8810915460474338,0.31000466308127533,0.03821600055027838,0.07836895712532788,0.0055056492824368045,0.9054817659660166,0.668121526254049,0.08691905926598674,0.1016245014189258,0.47187235219811424,0.7667827706368135,1.0058788783215644,1.0438960487894982,0.9272500511751275
CL01,X00003,0.8856268758892224,0.5665644333268535,0.2983111383219813,0.9741432936575887,0.9964734365228298,0.6098110099890411,0.6199184861495612,0.371151050292589,0.32236620439023406,0.48402958369757015,0.17176117620036713,0.4795831053902147,0.8955883870817811,-0.005704545081760763,0.8859964452500697,0.22098462779315037
CL08,X00004,0.7419424902015145,0.7612389119610933,0.7969997932071355,0.5065954822271979,0.2131793411976341,0.08189546325865205,0.7530752903530555,0.9629252718546863,0.6906725800094571,0.7781218104326112,0.6788286215945553,0.372319691122521,0.2332810735407344,0.5790695091923913,0.26295195460620996,0.5127144486452087
CL06,X00005,0.8766531217875724,0.8950346322187565,0.45135995942962626,0.9036421477766117,0.46473722487744185,0.8882848280319008,0.685065615078969,0.2376921828286538,0.05795595970232442,0.08144858663917268,0.02473433652997519,0.05474637989066582,0.21292437469521025,0.5222393652083519,0.018982139005219046,0.7274977561662179
CL07,X00006,0.9245218133317223,0.4284630443544836,0.8149008056168862,0.31374914344628074,0.007578233112006956,0.17172336648224826,0.07298691662438389,1.0091240121402973,0.7058748646946846,0.11148617087852199,-0.03596770569867819,0.5291161196907739,0.7327886919609325,1.0142214777223235,1.0027873060187926,0.8625930081123248
CL05,X00007,0.6107681259918205,0.08021301693905301,0.31566103289736036,0.6852711043198274,0.7883043683689692,-0.045701252935807304,0.859920817399429,0.3239872160022946,0.23264891135377558,0.6574378709206354,0.7763068748931745,0.9019830737940439,0.7931340178062714,0.8103138206469042,0.16056706734196424,0.8222802934724575
CL01,X00008,0.9524996015325928,0.5549030122494533,0.3218626893742861,0.8281763453729882,0.9136250771655785,0.5479581169072488,0.6593795214779963,0.33184903476903904,0.26662006389829795,0.5163411529255221,0.16852559885224033,0.5092032525234008,1.0025475831185222,0.02376054739921571,0.9581487794713729,0.26050627303614915
CL01,X00009,0.9309326824274249,0.519976147963524,0.37961356696471693,0.957609431077991,0.9311478559414788,0.57437123614142,0.6592024416516155,0.37741005631798796,0.27493136528928713,0.34732713574473845,0.25783091518521817,0.5434531752558913,0.8789745505566159,0.04760394216134259,0.9415244850682348,0.20958317774069593
CL03,X00010,0.5329134048860109,0.2525329882335324,0.9007609767591229,0.6190509960744739,0.6637838377641472,0.10881170203739472,0.9685001790080762,0.46078505569034645,0.5165814473019261,0.2592685134883079,0.5368612711900966,0.19167037428093847,0.18906264428840436,0.06514985929382952,0.684240455796792,0.16534154976670679
CL03,X00011,0.6269650064644875,0.2597564068994049,0.9356437226277622,0.5697255898360924,0.6955572290538147,0.15440124304357006,0.9134822536500294,0.5539452378399996,0.5637588494752106,0.3325669988796131,0.5096537864297533,0.23380908820375157,0.22421611923304025,0.16993824681139624,0.685259997059147,0.15088101437532006
CL04,X00012,0.17598038117179438,0.3525576251680629,0.7250459882420517,0.8856590322550413,0.1907842632214059,1.0698319126015714,0.761765533085952,0.10321093187341746,-0.026191311721710644,0.9373916085819839,0.5733649532618222,0.164600431700091,0.4567341302999972,0.11108951068030055,0.6998156833518008,0.20229687773714966
CL03,X00013,0.5570098860782764,0.2691351161734136,0.863867632263534,0.6140977376499732,0.6738757058711381,0.09438665754361135,0.9735463690645592,0.5490470446068079,0.5834889480246622,0.21364348226860655,0.544913204084853,0.29996551849653125,0.2321598802217516,0.18371275409049648,0.6901646271429104,0.15036488592876868
CL02,X00014,0.927504744857691,0.7625298875384616,0.363100639893641,0.446303388798121,0.7899133000954823,0.8614013027503156,0.3584204542332808,0.21383626668967232,0.6902412392591833,0.2417952513445453,0.823146554905236,0.8971647684947078,0.18827415494711267,0.04131158865983998,0.3684006067367844,0.10745331445784188
CL08,X00015,0.7229437766180933,0.6764490300632551,0.7367566598575404,0.5407659662644645,0.19243983236874557,0.070785249671673,0.7473278428185894,1.0170002907071543,0.7003667995134323,0.7620525322245988,0.6498624375444284,0.3637549551284915,0.17155174654767086,0.5928984986408774,0.2842450581967678,0.5000822209875923
CL05,X00016,0.5902094283902461,0.1255049355642126,0.45061191148427493,0.6994098151140318,0.8486373747969513,0.02485045094903674,0.8353704040901868,0.34126753175475955,0.29212397674307994,0.6929693818773267,0.7668962535201077,0.941657016165367,0.7263710402297888,0.9459196786131615,0.15253804657093534,0.861970776463244
CL01,X00017,0.8418236164711935,0.5192892211537179,0.31239678877196897,1.0095590461577846,0.8985630381777548,0.6118385141091939,0.6180642176837307,0.4161407890011776,0.34559057010546756,0.48414560103859805,0.19116377701061069,0.549645080726477,0.9760682722013994,-0.014932003899564155,0.8405536768759561,0.27843563132648785
CL05,X00018,0.583877325430685,0.173266963171686,0.4218776082217399,0.8126544304326602,0.8231300362308057,-0.008157335075567006,0.7967259297710261,0.35877910063370827,0.2482497558674216,0.7085551653058019,0.7298724277801014,0.988925382864542,0.7298795455550195,0.9465760148818273,0.18737099939375867,0.9486915618669908
CL05,X00019,0.5895778040841553,0.1479000506879079,0.41219563526673236,0.7813695709770108,0.7890211234913596,-0.011333696361964435,0.8033658011456991,0.34306624039159106,0.3024225283702244,0.7883548721682558,0.7949519763620497,1.0199895522784808,0.8201983332544853,0.8854613484151866,0.21876998627930277,0.8761296085054843
CL04,X00020,0.19813763422453198,0.39568845356878,0.778394223625286,0.9603161098127033,0.17731083493574085,0.9802146591018576,0.7156273199140679,0.24450888103741636,0.013527813870797867,0.8410604544564286,0.5516092116813037,0.04800227827087258,0.44735599085615274,0.1029109642987136,0.6519811342143653,0.20061682003325787
CL07,X00021,0.87529234669447,0.3387002767115777,0.7967040181102878,0.1878477642914827,0.13617416691719797,0.16932787033553404,0.14767221032919053,0.7875378078155848,0.7179112731553465,0.03826394942117495,0.11228768474213846,0.49176600421720407,0.7327367551785656,0.925595141313195,1.0470584953226048,0.9276711429868042
CL01,X00022,0.8399548694412904,0.5382726213598363,0.2735125516048859,0.8895484342593812,0.9289159359488245,0.5567593996047736,0.7330191989661229,0.4173296499836612,0.42057842415872765,0.40541033670617366,0.22393926628124608,0.5391938737531621,0.9658125408249502,-0.03608147571790145,0.9170476770435603,0.26056067967582786
CL02,X00023,0.9700262463457238,0.793598624044435,0.22995517434635004,0.4402741385572252,0.823148432527367,0.8393919070608925,0.4375052718115456,0.15580285680758704,0.6744425470280244,0.2946834573203779,0.7907564717857732,0.9519858717607396,0.19408076647580216,0.11578763113217794,0.35685194403326204,0.1480531392169243
CL05,X00024,0.547131988722901,0.05071911939651932,0.43460542490443094,0.6852399527843017,0.8757576423343933,0.04514620689480721,0.7976009174664367,0.27562148006441334,0.15596443740956686,0.7540962035615559,0.7406619559737988,0.94704003928264,0.8089930443739899,0.8479219191183844,0.2326414945439231,0.9509407124323275
CL01,X00025,0.8822394266067783,0.5065211478128373,0.2908598016528428,0.8744892255146072,0.8893093942784591,0.4777274012094724,0.5805411925481144,0.4003727989613175,0.27315504701262927,0.3654942355937538,0.18858540868106205,0.5078087336486867,0.901707052648154,-0.04609054243921151,0.9094614673846068,0.29591197102820904
CL05,X00026,0.573067013758064,0.11117079476017755,0.46564440140640884,0.7407660023497812,0.826362192594045,0.06659390051740005,0.7953909590775439,0.35270835071587925,0.18413596871138044,0.6492303203653182,0.7064124556229997,0.9912333202830109,0.8168913028344855,1.0234236600752973,0.1316612254726876,0.822086336036967
CL06,X00027,0.9438753016574836,0.8759250028235294,0.43139421166743896,0.7980219372300915,0.457583116258925,0.9898289032506582,0.7742868456922025,0.3461618806933938,0.04591158643735738,0.02778327713988514,0.10592994068065847,0.03525886747019606,0.16589813853509633,0.5698239299841041,0.05462493798596686,0.6799322909177046
CL08,X00028,0.7971266254557754,0.6683175092537718,0.7809784749513958,0.47395403802261965,0.16093119219353624,-0.01818676666603536,0.8159945173088392,1.008373546770747,0.6248792424072368,0.7743723963835146,0.5936740583566538,0.36227573762975224,0.2743053604610781,0.6192274679338371,0.22696826144718374,0.5154651699826392
CL03,X00029,0.4932414319731271,0.2683422642951163,0.9682753919627177,0.5177644301803771,0.6929555209131796,0.05911975405339423,1.1340446433414564,0.5118271386235242,0.6183130677666975,0.3022123218584714,0.6366730711301518,0.27012522452525084,0.12045248556872337,0.17303959583074688,0.7793213566822723,0.12288376927153957
CL08,X00030,0.905839369048248,0.6756530198752556,0.7788746700721673,0.42486428485255956,0.2625332620894796,0.06903578239341779,0.7109999743631121,0.996395855115255,0.6821064395778214,0.7215557428899748,0.6776586031768158,0.36802981689174535,0.2598679915417756,0.5072362304280889,0.2220410509597715,0.3909683773228432
CL08,X00031,0.8489424687056195,0.7566958402331805,0.8023800363506245,0.464716368100468,0.23618733138338838,0.13322070841176775,0.8455124245270309,0.8321226320666898,0.7165190171467167,0.6527312306832632,0.6972099776234871,0.42304129652348693,0.22757275996102894,0.5333559914574916,0.2793671155734572,0.4450709637869315
CL02,X00032,0.9691911206363995,0.6971474727986653,0.2937645578964243,0.5735817967436544,0.8509264252137654,0.9748972638233437,0.41301549606763455,0.1018371605798889,0.7828156542662774,0.22579770307105615,0.8093293519035012,0.957144670598412,0.14800482413207514,0.10007629104388607,0.38977492884742426,0.1109901219723878
CL05,X00033,0.42483173325643786,0.15481603827221058,0.36658306415740977,0.7216346794659396,0.7601052535656715,-0.04683956083006639,0.8429095545274504,0.36898525550301525,0.32037163558292425,0.6662342908870414,0.6915759542250177,0.9504066651262798,0.8294093264721824,0.9188800199538008,0.19616930619635983,0.765837899277501
CL07,X00034,0.9130825100956468,0.3085151005318351,0.8383835012973669,0.41542561865447336,0.09166021735609488,0.15627643836339364,0.13244296821222354,0.8514195871915736,0.693792644475711,0.09786055198664106,0.13344194613943355,0.5441818354799057,0.7332147880979071,0.9112712444273253,0.9949026398027087,0.8800721979083512
CL01,X00035,0.8297245477220943,0.4770369472712245,0.3059896403180831,0.8720989799147414,0.9179585567683393,0.5946380987282595,0.6410781730376542,0.364773805839836,0.21208790032548255,0.39271753515624414,0.16798885693157503,0.44603791369860013,1.0025256856982936,-0.02008123993134897,0.9573350233456451,0.2713790163797608
CL01,X00036,0.8921759459633827,0.5432635020409766,0.27537553938350595,0.928035745909957,0.972921955688904,0.6148130427352091,0.73593271275249,0.42259912561496044,0.30765934948390616,0.4316307572455418,0.1938523228326462,0.4915313465691558,0.9243656592375452,0.053493175669994536,0.9571262009456435,0.2546408621124712
CL05,X00037,0.5850340229344418,0.08821897360621933,0.3870182311148161,0.7232694560042587,0.8650300990070972,0.00813569054684719,0.7798814854290953,0.3077270835594039,0.2081985857215726,0.6890450167662494,0.7716599984195113,0.9586664556705947,0.7166490197169845,0.9462584026199998,0.21778856505028066,0.8786309532944191
CL06,X00038,0.9030311900830136,0.83660263569574,0.44791330892960024,0.7137853271724918,0.3577927174379143,0.9497652419996598,0.803779380688087,0.2807615535162886,-0.012481598172716088,0.1854235934469612,0.047694829872746536,0.03313555879196015,0.2842301963927668,0.5126722727838768,-0.008496114780577494,0.7584227697976176
CL03,X00039,0.6003493497920959,0.3166168677444424,0.8813235418846356,0.578939959423393,0.6112056912530642,0.09636480980325031,0.9782668553026254,0.41736601020240244,0.6480964687325081,0.2158720440253994,0.5016599740824208,0.22217262236484325,0.06794736504493612,0.11305141787847219,0.6943592368659208,0.12221934333205163
CL02,X00040,0.9330692151960791,0.6986215059330182,0.32722835800967326,0.4836493581641633,0.8017162920081197,0.9116726964810192,0.38167646244907333,0.2203747054934889,0.6833793244141452,0.14042170421845704,0.7110333727416316,0.9092152787335726,0.07077330310176654,0.12856622864862138,0.47006471470416517,0.1349539532529201
CL04,X00041,0.24623254344428103,0.46807901192882356,0.7128219988927114,0.8850745809350965,0.24906495949756047,0.9299299964079091,0.7094016537893696,0.20288185336279765,0.12186562893604995,0.8584880120876367,0.5394409113118741,0.15409424136919628,0.49205206412180996,0.08690269494480041,0.680975387197304,0.13774337450460922
CL01,X00042,0.8118510413293109,0.49645889745817384,0.18980038424942558,0.9723035774713212,1.0151767488140995,0.4909484870781209,0.7193939041084879,0.3382724335898198,0.2341367030914165,0.3762239074932281,0.25541667624325914,0.5377170150448889,0.8861174687472669,-0.0732308366949899,0.9749951216691366,0.2748215897011391
CL01,X00043,0.8762049054389194,0.5615580475940326,0.2742383602132757,0.9585290384378339,0.920589158236968,0.5037112006024117,0.6430910783391857,0.358434845364766,0.29000254679602216,0.43387167526250425,0.18449789968151234,0.4725680125793844,0.9377186799875477,0.03457252851747409,0.9616772808168544,0.28101472506058084
CL08,X00044,0.8433214665667862,0.6560445802009163,0.7644327372891392,0.4772747819075397,0.2533764524652617,0.013441543201844437,0.7516036117140698,0.8810626436578215,0.7136882690038491,0.7795310110697907,0.6938556794122309,0.31884630612172116,0.20625227473474553,0.5485837414824475,0.3815354846348425,0.45019442786258357
CL02,X00045,0.9422800200127377,0.7415293555657272,0.22321197899132178,0.5095015838442851,0.8091991369818192,0.8490269254962793,0.5146883520097109,0.12154647623645867,0.6613374654754558,0.22885886778816267,0.6616287561861205,0.9634430065175942,0.1696859125950459,0.18283720830594175,0.40015445353381396,0.12710713695710735
CL07,X00046,0.83939983040855,0.40199299045788545,0.822845824846745,0.4026811826574286,0.07983263714611713,0.15827637968445785,0.09694515914745075,0.9272286844481565,0.7259969894950444,0.0370857129927147,0.09143066475700698,0.5844506656165799,0.7313509267593197,1.0520712350093975,0.9374616657263366,0.8811723628262047
CL02,X00047,1.0274443149170829,0.6319049814021748,0.3526626178053189,0.4402197039238521,0.8055257962583464,0.9103342323291065,0.38808228119034727,0.1515275081940007,0.7189953427861776,0.16006235032648652,0.7714147265023714,0.8920459055108769,0.2892862845188277,0.01357370216464382,0.4534803989545933,0.23062584013022147
CL02,X00048,0.9958801407448264,0.7308244084377742,0.44561584596381576,0.5603695192359208,0.7609314221054906,0.8694542037210042,0.43099277387408674,0.0988809695675322,0.6110932019903648,0.1800593507366315,0.8217473525200627,0.9378715819960471,0.15072757617208601,-0.0848734001091409,0.4659867589290838,0.09519839012518405
CL01,X00049,0.8690385535930613,0.5069795316614869,0.24751304831310092,0.9599970773958084,0.8446626946762446,0.5223310714397729,0.6934859386576925,0.30745092621000825,0.2750792691752888,0.39592880974523953,0.19901057922480322,0.46909385589362085,0.9710466419829262,-0.01076554076876915,0.9251741124667968,0.24157811599266768
CL04,X00050,0.24384566080410575,0.4265674519855285,0.7087095308269532,1.0216944992190626,0.19800010422720665,1.0253957034191967,0.7292281374335591,0.14501760444525005,0.04790507558489354,0.8149273369520169,0.49187702101577174,0.11149708568859396,0.43760104768829644,0.08897566408150745,0.7739882837100964,0.13139565136986298
CL03,X00051,0.599373473241836,0.23009597443441396,0.9487688041768315,0.583937168850891,0.7703469591127015,0.019698609108616913,1.0315546964363906,0.5397254028284044,0.4761976687507619,0.18926584598803467,0.5578990485898488,0.22400480450462398,0.17307758777157103,0.0584699792145591,0.7489457378458922,0.13858092549171053
